Potravina;Bílkoviny;Uhlohydráty;Tuky;Energie
;(g/100g);(g/100g);(g/100g);(kcal/100g)
;;;;
maso jehněčí - průměr;10,92;0,06;12,09;199,4
maso kachna domácí - syrové maso;18,28;0;5,95;132
maso kachna domácí grilovaná (pouze maso);23,48;0;11,2;201
maso kachní pečené;15,33;0,09;39,06;413,1
maso kachní prsa pečená;20,82;0,08;20,52;268,3
maso kachní prsíčka syrová (divoká kachna);19,85;0;4,25;123
maso koňské - průměr;21,23;0,65;6,89;115
maso kozí;13;0,1;4,9;97,1
maso králičí - průměr;14,9;0,2;6,94;123,5
maso krkovička uzená;15,66;0,09;36,54;391,5
maso krkovička uzená vařená;4,71;0,09;57,85;573,3
maso krůtí;15,58;0,2;5,52;98,8
maso krůtí - prsa syrová bez kůže;20,88;0,21;0,28;86,9
maso kuřecí - prsa bez kůže dušená;29;0;3;119,1
maso kuřecí - prsa syrová;20,04;0,32;0,8;87,6
maso kuřecí - stehno - syrové maso bez kůže;20,1;0;3,8;120,1
maso kuřecí - stehno - syrové maso s kůží;18,1;0;12,1;187,1
maso kuřecí - stehno grilované (pouze maso);28,29;0;5,66;172
maso kuřecí bez kůže syrové;21,4;0;3,1;119,1
maso kuřecí s kůží syrové;18,6;0;15;215,3
maso kuřecí tmavé vařené, dušené;25,97;0;8,98;192
maso mleté (hovězí + vepřové);10,4;0,2;24;262,7
maso skopové výsekové;10,17;0,19;14,2;193,2
maso srnčí - stehno;17,64;0,28;1,17;83,6
maso telecí - hruď;14,34;0,1;12,28;168,3
maso telecí - hruď dušená;9,72;0,1;10,24;131,4
maso telecí - plec;13,89;0,14;5,92;112,2
maso telecí - stehno;19,77;0,34;5,75;107,1
maso telecí - svíčková;19,38;0,3;7,98;150,5
maso uzené moravské;25,5;0;26,7;350,5
maso vepřové - bok pečený;13,01;0,09;61,74;607,9
maso vepřové - koleno;17,42;0,1;25,85;302,7
maso vepřové - krkovička;13,07;0,17;21,22;245
maso vepřové - krkovička dušená;15,3;0,09;22,61;265
maso vepřové - krkovička pečená;17,94;0,09;30,94;350,6
maso vepřové - plec pečená;17,7;0,08;8,16;144,6
maso vepřové libové;17,75;0,071;17,72;238,1
maso vepřové pečené;17,61;1,53;51,88;543,5
maso vepřové tučné;11,28;0,26;45,05;475
maso vepřové ve vlastní šťávě;14,68;0,1;29,16;310
maso vepřové výsekové;12,25;0,17;26,71;299
matesy v oleji;17,6;0;22,6;256,4
mečoun;19,4;0;4,4;117,2
med včelí;0,27;81,7;0,04;324,4
melasa;4,12;60,8;1;274,8
meloun (vodní);0,62;7,18;0,43;32
meloun cukrový;0,47;5,15;0,07;23,4
meloun vodní;0,37;3,47;0,1;14,29
meruňka;1,4;11,2;0,39;48
meruňky;0,85;11,96;0,24;48,6
meruňky sušené;4,6;67,19;0,53;265
mirabelky;0,7;12,8;0,2;53,1
mléčná rýže caramel (Müller);3,4;19,7;2,4;119,6
mléčná rýže čokoládová (Danone);2,9;22,9;2,6;127,7
mléčná rýže jablko (Müller);3,5;19,5;2,4;116
mléčná rýže jahoda (Danone);2,9;22,9;2,6;127,8
mléčná rýže jahoda (Müller);3,4;20;2,3;117
mléčná rýže light jablko (Müller);3,5;11,9;0,9;69,4
mléčná rýže light jahoda (Müller);3,5;12,2;0,9;70,8
mléčná rýže light malina (Müller);3,9;11,9;0,9;69,6
mléčná rýže malina (Müller);3,4;20;2,3;117
mléčná rýže skořice (Müller);3,5;20;2,4;117
mléčná rýže vanilka (Danone);3,3;20,6;2,6;120,3
mléko – 2% tuku;3,33;4,8;1,92;50
mléko acidofilní;3,4;4,3;3,55;59
mléko kefírové;3,52;3,97;2,09;47
mléko kobylí;2,2;6,2;1,5;47,1
mléko kozí ;3,76;5,24;4,59;75,3
mléko mateřské;1,2;7,1;3,7;67
mléko nízkotučné - 0,5% tuku;3,2;4,6;0,5;35,9
mléko odtučněné;3,38;4,88;0,06;33
mléko odtučněné sušené;35,12;51,98;0,77;349
mléko ovčí;6,08;5;7,45;97,7
mléko plnotučné;3,1;4,75;3,4;61,7
mléko plnotučné sušené;26,58;37,73;26,84;494
mléko polotučné;3,27;4,68;1,97;50
